What is the closest planet to the Sun?,Mercury,Venus,Earth,Pluto,Mercury
The stars in space are _____,uniformly spread out,distributed completely at random,chiefly in the Milky Way,mostly contained within widely separated galaxies,mostly contained within widely separated galaxies
Evidence of various kinds suggests that at the center of our galaxy is a ________________,quasar,pulsar,neutron start,black hole,black hole
Primary cosmic rays are composed largely of very fast ________________.,protons,neutrons,electrons,gamma rays,protons
Supernova explosions have no connection with ____________________.,the formation of heavy elements,cosmic rays,pulsars,quasars,quasars
"Grand Central Terminal, Park Avenue, New York is the world's",largest railway station,highest railway station,longest railway station,None of the above,largest railway station
Eritrea which became the 182nd member of the UN in 1993 is in the continent of,Asia,Africa,Europe,Australia,Africa
"For which of the following disciplines is Nobel Prize awarded?","Physics and Chemistry","Physiology or Medicine","Literature, Peace and Economics",All of the above,All of the above
"First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky,was conducted in",1967,1968,1958,1922,1967	
First China War was fought between China and,Britain,France,Egypt,Greece,Britain
